building_address,building_lat,building_lng,intersection_id,intersection_lat,intersection_lng,shortest_distance_meters
384 Bridge Street,40.6916513,-73.9857347,42464631,40.6920559,-73.9826228,642.322
384 Bridge Street,40.6916513,-73.9857347,42464823,40.6921704,-73.9891263,428.765
384 Bridge Street,40.6916513,-73.9857347,42464824,40.6918024,-73.9882134,341.592
384 Bridge Street,40.6916513,-73.9857347,42464827,40.6914546,-73.9873387,258.319
384 Bridge Street,40.6916513,-73.9857347,42464832,40.690663,-73.9853532,166.436
384 Bridge Street,40.6916513,-73.9857347,42464834,40.690561,-73.985105,190.238
384 Bridge Street,40.6916513,-73.9857347,42464836,40.690292,-73.984433,254.30700000000002
384 Bridge Street,40.6916513,-73.9857347,42464838,40.6901448,-73.9840629,289.543
384 Bridge Street,40.6916513,-73.9857347,42464844,40.6897015,-73.9829511,395.455
384 Bridge Street,40.6916513,-73.9857347,42464847,40.689358,-73.982098,476.89599999999996
384 Bridge Street,40.6916513,-73.9857347,42464848,40.6889411,-73.9810499,576.6899999999999
384 Bridge Street,40.6916513,-73.9857347,42466438,40.6887841,-73.9835721,510.118
384 Bridge Street,40.6916513,-73.9857347,42469226,40.6932563,-73.9881544,504.254
384 Bridge Street,40.6916513,-73.9857347,42469228,40.6922794,-73.9881997,395.561
384 Bridge Street,40.6916513,-73.9857347,42480566,40.693036,-73.984292,520.7550000000001
384 Bridge Street,40.6916513,-73.9857347,42480569,40.6930502,-73.9852301,441.64700000000005
384 Bridge Street,40.6916513,-73.9857347,42480571,40.693088,-73.986226,357.57500000000005
384 Bridge Street,40.6916513,-73.9857347,42481889,40.6949665,-73.987162,476.092
384 Bridge Street,40.6916513,-73.9857347,42491554,40.6959659,-73.9845903,809.6869999999999
384 Bridge Street,40.6916513,-73.9857347,42491582,40.6911662,-73.9821756,748.193
384 Bridge Street,40.6916513,-73.9857347,42491585,40.6899297,-73.9815542,733.329
384 Bridge Street,40.6916513,-73.9857347,42491589,40.688761,-73.980843,603.2489999999999
384 Bridge Street,40.6916513,-73.9857347,42492210,40.6904673,-73.9878775,377.598
384 Bridge Street,40.6916513,-73.9857347,42492213,40.6898629,-73.9882859,453.112
384 Bridge Street,40.6916513,-73.9857347,42494919,40.6922042,-73.9862727,84.05000000000001
384 Bridge Street,40.6916513,-73.9857347,42494920,40.6921587,-73.9852776,0.0
384 Bridge Street,40.6916513,-73.9857347,42494921,40.6921272,-73.9843423,621.8990000000001
384 Bridge Street,40.6916513,-73.9857347,42494924,40.6920899,-73.9833969,576.946
384 Bridge Street,40.6916513,-73.9857347,42496432,40.691039,-73.9894028,521.292
384 Bridge Street,40.6916513,-73.9857347,42497737,40.6960551,-73.9871076,597.227
384 Bridge Street,40.6916513,-73.9857347,42502404,40.689222,-73.9846917,405.389
384 Bridge Street,40.6916513,-73.9857347,42510861,40.6901632,-73.9870995,436.23
384 Bridge Street,40.6916513,-73.9857347,42515825,40.6903899,-73.9898327,602.125
384 Bridge Street,40.6916513,-73.9857347,42523094,40.6890086,-73.9861587,385.288
384 Bridge Street,40.6916513,-73.9857347,42523684,40.6896291,-73.985733,306.60900000000004
384 Bridge Street,40.6916513,-73.9857347,42523688,40.688451,-73.9827164,591.219
384 Bridge Street,40.6916513,-73.9857347,42523691,40.6879371,-73.9813995,706.18
384 Bridge Street,40.6916513,-73.9857347,42523903,40.6905587,-73.9826854,828.26
384 Bridge Street,40.6916513,-73.9857347,278630368,40.692096,-73.9889495,411.717
384 Bridge Street,40.6916513,-73.9857347,278630910,40.6909958,-73.9892384,506.622
384 Bridge Street,40.6916513,-73.9857347,278631323,40.6903367,-73.9896591,617.912
384 Bridge Street,40.6916513,-73.9857347,278632281,40.6925287,-73.9888795,460.289
384 Bridge Street,40.6916513,-73.9857347,278632502,40.6950187,-73.9886923,737.8740000000001
