cartodb_id,bbl,tract_10,sba_name,ccd_name,cd_name,boro_name,city_name,tax_delinquency,ser_violation,assessed_value,owner_name,res_units,year_built,buildings,net_inc_sqft,gross_exp_sqft,standard_address,inc_tar_info,inc_tar_units_0bed,inc_tar_units_1bed,inc_tar_units_2bed,inc_tar_units_3bed,inc_tar_units_4bed,floodplain_flag,applied_filters,BBL,latitude,longitude
9492648,3007180043,36047008200,Sunset Park,City Council District 38,BK 07 - Sunset Park,Brooklyn,New York City,1.0,1.0,2539350,4112 REALTY LLC,57.0,1928.0,1.0,,,4112 4 Avenue,Information unavailable,,,,,,Not in floodplain,"Has Subsidies, Borough is ""Brooklyn""",3007180043.0,40.6513257,-74.0080221
9530483,3037080003,36047115200,East New York/Starrett City,City Council District 37,BK 05 - East New York/Starrett City,Brooklyn,New York City,1.0,,344700,MHANY 2015 HOUSING DEVELOPMENT FUND CORP,6.0,1915.0,1.0,,,209 Bradford Street,Information unavailable,,,,,,Not in floodplain,"Has Subsidies, Borough is ""Brooklyn""",3037080003.0,40.6742082,-73.8922917
9524026,3034190008,36047043700,Bushwick,City Council District 37,BK 04 - Bushwick,Brooklyn,New York City,1.0,,505350,MHANY 2015 HOUSING DEVELOPMENT FUND CORP,6.0,1912.0,1.0,,,811 Knickerbocker Avenue,Information unavailable,,,,,,Not in floodplain,"Has Subsidies, Borough is ""Brooklyn""",3034190008.0,40.692622,-73.9069855
9573037,3034130065,36047043700,Bushwick,City Council District 37,BK 04 - Bushwick,Brooklyn,New York City,1.0,1.0,724500,MHANY 2015 HOUSING DEVELOPMENT FUND CORP,6.0,1909.0,1.0,,,309 Eldert Street,Information unavailable,,,,,,Not in floodplain,"Has Subsidies, Borough is ""Brooklyn""",3034130065.0,40.6930805,-73.9071868
9569981,3033740036,36047039900,Bushwick,City Council District 34,BK 04 - Bushwick,Brooklyn,New York City,1.0,,396450,MHANY 2015 HOUSING DEVELOPMENT FUND CORP,6.0,1913.0,1.0,,,109 Cornelia Street,Information unavailable,,,,,,Not in floodplain,"Has Subsidies, Borough is ""Brooklyn""",3033740036.0,40.6902106,-73.9157981
9570563,3033670003,36047039900,Bushwick,City Council District 34,BK 04 - Bushwick,Brooklyn,New York City,1.0,1.0,458100,MHANY 2015 HOUSING DEVELOPMENT FUND CORP,7.0,1900.0,1.0,,,1141 Bushwick Avenue,Information unavailable,,,,,,Not in floodplain,"Has Subsidies, Borough is ""Brooklyn""",3033670003.0,40.6895834,-73.9176523
9569396,3033500023,36047041700,Bushwick,City Council District 34,BK 04 - Bushwick,Brooklyn,New York City,1.0,,429300,MHANY 2015 HOUSING DEVELOPMENT FUND CORP,6.0,1931.0,1.0,,,142 Palmetto Street,Information unavailable,,,,,,Not in floodplain,"Has Subsidies, Borough is ""Brooklyn""",3033500023.0,40.6928302,-73.9172625
9568495,3033480015,36047039700,Bushwick,City Council District 34,BK 04 - Bushwick,Brooklyn,New York City,1.0,,214200,MHANY 2015 HOUSING DEVELOPMENT FUND CORP,7.0,1931.0,1.0,,,16 Palmetto Street,Information unavailable,,,,,,Not in floodplain,"Has Subsidies, Borough is ""Brooklyn""",3033480015.0,40.6893824,-73.9206526
9517757,3032460011,36047042900,Bushwick,City Council District 37,BK 04 - Bushwick,Brooklyn,New York City,1.0,,449550,MHANY 2015 HOUSING DEVELOPMENT FUND CORP,6.0,1931.0,1.0,,,1414 Dekalb Avenue,Information unavailable,,,,,,Not in floodplain,"Has Subsidies, Borough is ""Brooklyn""",3032460011.0,40.6998747,-73.9232296
9515578,3032090025,36047042900,Bushwick,City Council District 34,BK 04 - Bushwick,Brooklyn,New York City,1.0,,540000,MHANY 2015 HOUSING DEVELOPMENT FUND CORP,5.0,1931.0,1.0,,,1142 Willoughby Avenue,Information unavailable,,,,,,Not in floodplain,"Has Subsidies, Borough is ""Brooklyn""",3032090025.0,40.7019287,-73.9247239
