cartodb_id,bbl,tract_10,sba_name,ccd_name,cd_name,boro_name,city_name,tax_delinquency,ser_violation,assessed_value,owner_name,res_units,year_built,buildings,net_inc_sqft,gross_exp_sqft,standard_address,inc_tar_info,inc_tar_units_0bed,inc_tar_units_1bed,inc_tar_units_2bed,inc_tar_units_3bed,inc_tar_units_4bed,floodplain_flag,applied_filters
9492648,3007180043,36047008200,Sunset Park,City Council District 38,BK 07 - Sunset Park,Brooklyn,New York City,1,1,2539350,4112 REALTY LLC,57,1928,1,,,4112 4 Avenue,Information unavailable,,,,,,Not in floodplain,"Has Subsidies, Borough is ""Brooklyn"""
9530483,3037080003,36047115200,East New York/Starrett City,City Council District 37,BK 05 - East New York/Starrett City,Brooklyn,New York City,1,,344700,MHANY 2015 HOUSING DEVELOPMENT FUND CORP,6,1915,1,,,209 Bradford Street,Information unavailable,,,,,,Not in floodplain,"Has Subsidies, Borough is ""Brooklyn"""
9524026,3034190008,36047043700,Bushwick,City Council District 37,BK 04 - Bushwick,Brooklyn,New York City,1,,505350,MHANY 2015 HOUSING DEVELOPMENT FUND CORP,6,1912,1,,,811 Knickerbocker Avenue,Information unavailable,,,,,,Not in floodplain,"Has Subsidies, Borough is ""Brooklyn"""
9573037,3034130065,36047043700,Bushwick,City Council District 37,BK 04 - Bushwick,Brooklyn,New York City,1,1,724500,MHANY 2015 HOUSING DEVELOPMENT FUND CORP,6,1909,1,,,309 Eldert Street,Information unavailable,,,,,,Not in floodplain,"Has Subsidies, Borough is ""Brooklyn"""
9569981,3033740036,36047039900,Bushwick,City Council District 34,BK 04 - Bushwick,Brooklyn,New York City,1,,396450,MHANY 2015 HOUSING DEVELOPMENT FUND CORP,6,1913,1,,,109 Cornelia Street,Information unavailable,,,,,,Not in floodplain,"Has Subsidies, Borough is ""Brooklyn"""
9570563,3033670003,36047039900,Bushwick,City Council District 34,BK 04 - Bushwick,Brooklyn,New York City,1,1,458100,MHANY 2015 HOUSING DEVELOPMENT FUND CORP,7,1900,1,,,1141 Bushwick Avenue,Information unavailable,,,,,,Not in floodplain,"Has Subsidies, Borough is ""Brooklyn"""
9569396,3033500023,36047041700,Bushwick,City Council District 34,BK 04 - Bushwick,Brooklyn,New York City,1,,429300,MHANY 2015 HOUSING DEVELOPMENT FUND CORP,6,1931,1,,,142 Palmetto Street,Information unavailable,,,,,,Not in floodplain,"Has Subsidies, Borough is ""Brooklyn"""
9568495,3033480015,36047039700,Bushwick,City Council District 34,BK 04 - Bushwick,Brooklyn,New York City,1,,214200,MHANY 2015 HOUSING DEVELOPMENT FUND CORP,7,1931,1,,,16 Palmetto Street,Information unavailable,,,,,,Not in floodplain,"Has Subsidies, Borough is ""Brooklyn"""
9517757,3032460011,36047042900,Bushwick,City Council District 37,BK 04 - Bushwick,Brooklyn,New York City,1,,449550,MHANY 2015 HOUSING DEVELOPMENT FUND CORP,6,1931,1,,,1414 Dekalb Avenue,Information unavailable,,,,,,Not in floodplain,"Has Subsidies, Borough is ""Brooklyn"""
9515578,3032090025,36047042900,Bushwick,City Council District 34,BK 04 - Bushwick,Brooklyn,New York City,1,,540000,MHANY 2015 HOUSING DEVELOPMENT FUND CORP,5,1931,1,,,1142 Willoughby Avenue,Information unavailable,,,,,,Not in floodplain,"Has Subsidies, Borough is ""Brooklyn"""
