station_name,station_add,station_lat,station_lng,intersection_id,intersection_lat,intersection_lng,shortest_distance
UPS Distribution Center,50-02 55th Ave,40.7281827,-73.9173778,42464631,40.6920559,-73.9826228,8472.565999999999
UPS Distribution Center,50-02 55th Ave,40.7281827,-73.9173778,42464823,40.6921704,-73.9891263,8943.337000000001
UPS Distribution Center,50-02 55th Ave,40.7281827,-73.9173778,42464824,40.6918024,-73.9882134,8951.986
UPS Distribution Center,50-02 55th Ave,40.7281827,-73.9173778,42464827,40.6914546,-73.9873387,8868.713000000002
UPS Distribution Center,50-02 55th Ave,40.7281827,-73.9173778,42464832,40.690663,-73.9853532,8847.450999999997
UPS Distribution Center,50-02 55th Ave,40.7281827,-73.9173778,42464834,40.690561,-73.985105,8871.252999999997
UPS Distribution Center,50-02 55th Ave,40.7281827,-73.9173778,42464836,40.690292,-73.984433,8808.048999999999
UPS Distribution Center,50-02 55th Ave,40.7281827,-73.9173778,42464838,40.6901448,-73.9840629,8843.285
UPS Distribution Center,50-02 55th Ave,40.7281827,-73.9173778,42464844,40.6897015,-73.9829511,8779.282000000001
UPS Distribution Center,50-02 55th Ave,40.7281827,-73.9173778,42464847,40.689358,-73.982098,8860.723000000002
UPS Distribution Center,50-02 55th Ave,40.7281827,-73.9173778,42464848,40.6889411,-73.9810499,8761.282000000001
UPS Distribution Center,50-02 55th Ave,40.7281827,-73.9173778,42466438,40.6887841,-73.9835721,8893.945000000002
UPS Distribution Center,50-02 55th Ave,40.7281827,-73.9173778,42469226,40.6932563,-73.9881544,9114.648
UPS Distribution Center,50-02 55th Ave,40.7281827,-73.9173778,42469228,40.6922794,-73.9881997,9005.955
UPS Distribution Center,50-02 55th Ave,40.7281827,-73.9173778,42476732,40.6946198,-73.9906274,8839.222000000002
UPS Distribution Center,50-02 55th Ave,40.7281827,-73.9173778,42480566,40.693036,-73.984292,8502.695999999998
UPS Distribution Center,50-02 55th Ave,40.7281827,-73.9173778,42480569,40.6930502,-73.9852301,8581.803999999998
UPS Distribution Center,50-02 55th Ave,40.7281827,-73.9173778,42480571,40.693088,-73.986226,8665.875999999998
UPS Distribution Center,50-02 55th Ave,40.7281827,-73.9173778,42481888,40.6950251,-73.9889427,8625.166000000001
UPS Distribution Center,50-02 55th Ave,40.7281827,-73.9173778,42481889,40.6949665,-73.987162,8477.888
UPS Distribution Center,50-02 55th Ave,40.7281827,-73.9173778,42491554,40.6959659,-73.9845903,8154.916
UPS Distribution Center,50-02 55th Ave,40.7281827,-73.9173778,42491582,40.6911662,-73.9821756,8578.436999999998
UPS Distribution Center,50-02 55th Ave,40.7281827,-73.9173778,42491585,40.6899297,-73.9815542,8643.369
UPS Distribution Center,50-02 55th Ave,40.7281827,-73.9173778,42491589,40.688761,-73.980843,8787.841
UPS Distribution Center,50-02 55th Ave,40.7281827,-73.9173778,42492210,40.6904673,-73.9878775,8987.992000000002
UPS Distribution Center,50-02 55th Ave,40.7281827,-73.9173778,42492213,40.6898629,-73.9882859,9063.506000000001
UPS Distribution Center,50-02 55th Ave,40.7281827,-73.9173778,42492415,40.696123,-73.9888829,8502.977
UPS Distribution Center,50-02 55th Ave,40.7281827,-73.9173778,42494919,40.6922042,-73.9862727,8765.064999999997
UPS Distribution Center,50-02 55th Ave,40.7281827,-73.9173778,42494920,40.6921587,-73.9852776,8681.014999999998
UPS Distribution Center,50-02 55th Ave,40.7281827,-73.9173778,42494921,40.6921272,-73.9843423,8603.839999999998
UPS Distribution Center,50-02 55th Ave,40.7281827,-73.9173778,42494924,40.6920899,-73.9833969,8537.942
UPS Distribution Center,50-02 55th Ave,40.7281827,-73.9173778,42496432,40.691039,-73.9894028,9071.354000000001
UPS Distribution Center,50-02 55th Ave,40.7281827,-73.9173778,42497737,40.6960551,-73.9871076,8356.753
UPS Distribution Center,50-02 55th Ave,40.7281827,-73.9173778,42502404,40.689222,-73.9846917,9000.163000000002
UPS Distribution Center,50-02 55th Ave,40.7281827,-73.9173778,42510861,40.6901632,-73.9870995,9061.791000000003
UPS Distribution Center,50-02 55th Ave,40.7281827,-73.9173778,42515825,40.6903899,-73.9898327,9152.187000000002
UPS Distribution Center,50-02 55th Ave,40.7281827,-73.9173778,42523094,40.6890086,-73.9861587,9066.302999999996
UPS Distribution Center,50-02 55th Ave,40.7281827,-73.9173778,42523684,40.6896291,-73.985733,8987.623999999996
UPS Distribution Center,50-02 55th Ave,40.7281827,-73.9173778,42523688,40.688451,-73.9827164,8975.046000000002
UPS Distribution Center,50-02 55th Ave,40.7281827,-73.9173778,42523691,40.6879371,-73.9813995,8890.772
UPS Distribution Center,50-02 55th Ave,40.7281827,-73.9173778,42523903,40.6905587,-73.9826854,8658.503999999997
UPS Distribution Center,50-02 55th Ave,40.7281827,-73.9173778,42530376,40.6961684,-73.9900623,8800.855000000001
UPS Distribution Center,50-02 55th Ave,40.7281827,-73.9173778,42530379,40.695061,-73.9901161,8724.173
UPS Distribution Center,50-02 55th Ave,40.7281827,-73.9173778,42533974,40.695022,-73.9907543,8778.284000000001
UPS Distribution Center,50-02 55th Ave,40.7281827,-73.9173778,278630368,40.692096,-73.9889495,8960.385000000002
UPS Distribution Center,50-02 55th Ave,40.7281827,-73.9173778,278630910,40.6909958,-73.9892384,9086.024000000001
UPS Distribution Center,50-02 55th Ave,40.7281827,-73.9173778,278631323,40.6903367,-73.9896591,9167.974000000002
UPS Distribution Center,50-02 55th Ave,40.7281827,-73.9173778,278632281,40.6925287,-73.9888795,9008.957000000002
UPS Distribution Center,50-02 55th Ave,40.7281827,-73.9173778,278632502,40.6950187,-73.9886923,9037.881000000003
UPS Distribution Center,50-02 55th Ave,40.7281827,-73.9173778,278632503,40.6961134,-73.988653,8522.389000000001
UPS Distribution Center,50-02 55th Ave,40.7281827,-73.9173778,278634702,40.6925341,-73.9890601,8902.511000000002
UPS Distribution Center,50-02 55th Ave,40.7281827,-73.9173778,588036470,40.6910889,-73.986427,8949.623999999998
UPS Distribution Center,50-02 55th Ave,40.7281827,-73.9173778,597844593,40.6929609,-73.9833513,8573.829999999998
UPS Distribution Center,50-02 55th Ave,40.7281827,-73.9173778,597844596,40.6930266,-73.9831149,8429.950999999997
