Rank,School,Country,AvgSalary,PreSalary,GradJobs,PhD,Avg. Age of Students,Avg. work exp. of students (Months),Total Tuition ($),Duration (Months)
1,INSEAD,France/Singapore,188432,96,83,98,29,44,83832,12
2,LBS,Britain,177234,103,88,99,29,44,119359,21
3,University of Chicago (Booth),US,200287,121,91,95,28,60,111855,21
4,IESE,Spain,186887,133,86,100,29,48,107049,21
5,Yale,US,166811,131,79,100,28,53,104752,21
6,Northwestern (Kellogg),US,190975,102,93,100,28,60,111658,22
7,Ceibs,China,168436,118,90,97,29,72,126001,18
8,HEC Paris,France,178558,156,91,100,30,72,116713,16
9,Duke University (Fuqua),US,177895,121,91,96,29,72,97554,21
10,Dartmouth College (Tuck),US,182988,106,92,98,28,65,118047,24
11,University of Virginia (Darden),US,179176,135,91,95,28,60,99856,21
12,SDA Bocconi School of Management,Italy,155475,126,92,99,29,66,70984,18
13,New York University (Stern),US,175239,127,89,88,28,60,121541,22
14,National University of Singapore Business School,Singapore,160729,138,78,90,29,66,76000,17
15,Cornell (Johnson),US,174098,128,90,100,28,60,101685,21
16,Cambridge (Judge),Britain,167610,87,90,99,30,72,87471,12
17,Georgetown (McDonough),US,161512,132,90,100,29,63,95063,21
18,Oxford (Said),Britain,151895,85,95,100,29,60,75014,22
19,IMD,Switzerland,160768,68,87,100,31,84,105405,12
20,Esade,Spain,143721,113,91,100,29,72,87128,18
21,Michigan (Ross),US,167336,103,88,91,29,60,97566,22
22,HKUST,Hong Kong,151758,109,86,99,28,60,110170,16
23,Indian School of Business,India,161349,173,100,100,35,140,50000,18
24,USC (Marshall),US,164519,118,91,83,29,64,102964,20
25,WASHU (Olin),US,142340,117,73,97,28,60,69461,24
