X,Y
1000980,228602
1000980,228602
997751,223053
1000980,228602
1000233,240165
1000980,228602
1000980,228602
984650,197540
997301,233186
1000980,228602
999965,228976
985236,211102
1000980,228602
1000980,228602
998630,226378
1000721,230647
1000354,246490
999867,240236
993970,232299
986680,207384
985944,213997
990515,226611
983833,208309
1000980,228602
996841,230858
996555,223271
990913,203123
997233,233074
1000980,228602
997780,231585
997780,231585
989963,205125
996852,232973
991031,203188
990121,226837
996418,232006
996815,223747
998423,227010
1001371,250004
986209,210768
986209,210768
996783,235487
999965,236251
989107,224073
996862,230897
991017,224799
983639,205109
990700,226388
989439,221368
1005222,253706
1000583,226488
991321,226786
993646,218023
991354,226768
998341,233300
1001617,249688
1000980,228602
999175,222136
992408,229409
989107,224073
995480,217127
998239,235400
999729,234275
997311,223169
989367,224459
999416,235573
988028,206307
989475,209342
993538,217311
999021,227349
1000802,244833
1000859,238881
1001040,227307
1003542,250564
998608,223646
991243,225286
997132,235420
1005586,253892
999336,234497
1000802,244833
989454,205530
993023,219020
983004,204907
1001331,239421
989896,202060
992020,224546
1000209,232943
1006620,254393
997247,237772
1000354,246490
1004253,252275
988517,204257
1001786,245583
983306,199461
989539,222511
994252,230292
994657,215796
983306,199461
994539,230134
1001272,236144
991850,229529
1001285,236137
993693,231339
1000344,233938
996096,236364
986192,218203
1001843,237298
989803,203246
996807,225842
989731,208456
991073,213121
989731,208456
994232,230310
989731,208456
986589,216939
989509,222535
1000059,240629
983467,205088
999649,242778
995842,217225
988726,210941
1000980,228602
999597,228185
989731,208456
993732,231824
988605,207877
989293,223896
994255,231823
999519,240719
984990,200136
1000980,228602
990527,223515
993347,232040
999480,235676
989879,202669
1003692,250178
983947,207626
998701,221629
998894,241368
991196,207802
1000466,246834
986870,198899
999175,222136
996237,231517
997249,223203
998360,229266
1004013,251619
989087,201679
1000980,228602
982772,208793
994446,215421
1001183,240618
982786,207152
1000980,228602
1001137,236815
993390,232302
989303,224199
1001183,240618
998260,229916
997128,237003
1000295,240278
993366,232029
985248,201617
983714,203250
989108,204335
998148,223303
999128,222162
997519,239360
989333,224183
987758,199339
1000241,238906
999947,243959
983086,197441
989954,202602
989715,210176
992020,224546
986023,199765
993554,228706
989470,213648
989577,220695
984079,210814
1000286,244796
1000234,233081
985871,215123
989701,210194
997491,223368
989936,226312
1006620,254393
1000980,228602
999580,231410
983697,212249
998770,231157
996986,232141
999169,243517
987616,200238
991104,207840
997544,230617
995395,235993
1002254,250378
993508,217325
1000980,228602
1001494,248705
1001081,236842
999072,239868
992303,227436
989943,202609
989782,203258
999484,240738
999283,222376
998108,231355
1004760,255404
986732,217462
985686,201951
996678,230624
982700,208200
992046,227287
1000980,228602
983668,197564
983093,208199
997068,236895
999019,238044
997094,224260
983998,198115
1000980,228602
997705,240191
1000980,228602
999357,241402
997068,236895
996533,221744
985705,204441
984097,200077
998476,240092
986739,201601
999035,244344
993554,228706
993117,230925
999710,244397
999304,227192
1001321,227814
1001190,246719
1000918,233019
1001183,240618
1003121,249690
993720,231838
989377,202345
998010,222186
998281,225022
986336,216191
994815,229130
999867,240236
983306,201520
980924,196114
992055,227882
983714,203250
1000623,229576
998390,233456
1001890,233676
999357,241402
996281,232857
984598,210146
987866,210527
986209,210768
1001357,237208
1000980,228602
997068,236895
996533,221744
1005696,254055
1000980,228602
1005696,254055
999462,231451
987647,211162
997222,223218
996986,232141
984732,199572
1005696,254055
987374,212066
990242,204407
997233,233074
989701,210194
990376,202654
1000354,246490
1000980,228602
1000591,244043
1002883,248820
1000980,228602
989715,210176
1000980,228602
992303,227436
982578,208198
985468,210678
989212,211896
999821,243931
999045,240097
986680,215381
992738,214731
999474,239328
989379,206996
997743,231399
990131,201115
985323,210128
996457,231517
996394,238230
989201,223954
985143,198439
1000957,235694
982896,203825
999447,222210
996170,237897
989361,201675
998306,228734
987420,204860
993244,218962
1000980,228602
999014,229833
988522,204703
1000233,240165
982593,203310
986981,200356
997062,233182
988922,208132
1000470,229889
1002110,250264
989107,224085
987819,201162
1006177,254304
982274,198321
1002488,229413
997001,232129
998150,231170
985040,211254
994012,231763
991346,224722
1002420,246757
990502,213602
991301,224634
998934,239839
1000136,230393
990275,224909
997981,230069
993411,213552
988207,208852
995106,230601
999035,244344
986778,212762
999931,244102
987611,203895
986098,201917
989650,222449
985102,210247
987104,208286
1003394,224865
995119,230624
1001637,249699
997564,221784
1003858,253079
1002910,225081
1001686,248555
1000980,228602
988909,207759
988717,207903
1003470,252292
997330,225741
998199,224769
999474,239328
985925,202748
994878,216872
1000354,246490
989544,202534
998419,240116
997681,232382
987541,202932
997856,232982
992717,228199
994382,230217
1002469,247064
996164,231547
1000980,228602
994709,229441
999382,241983
983306,199461
1000980,228602
994530,229768
1001481,246717
993749,231221
997130,223272
1005278,254740
1002561,250700
986515,201728
1000980,228602
992492,213080
1002566,248676
988136,206361
999268,222084
983095,211680
992841,228356
986315,206623
985236,198021
997911,239491
982274,198321
980341,196049
993144,231233
997707,234479
997707,234479
988850,207877
999417,239154
995896,234792
998360,229266
990690,224685
980770,194854
995630,235007
999924,226848
1001107,231500
999372,234766
991104,207840
1004101,251147
991104,207840
997705,240191
1000399,229036
991087,207861
985978,201973
994134,228841
984302,200099
991104,207840
983195,210503
985798,205758
997653,234515
985988,200910
991087,207861
981922,205100
1002641,248057
986919,204278
983987,204100
986828,216384
991087,207861
986399,217643
999519,231800
999789,242701
998374,234116
989422,204604
989325,203427
982943,208266
992118,224264
1007275,256129
997442,234009
985657,214450
997259,234155
993774,229103
984814,210018
994400,231156
997559,234237
985921,213718
987694,210925
994407,231157
987666,212392
989127,222586
1001617,247088
987381,217996
983604,209667
1006301,254680
989564,225870
985684,215317
984222,203553
986399,217643
985180,206294
984666,206579
1000980,228602
986399,217643
998786,230639
998718,230351
984960,206428
992464,230691
997981,230069
987608,218218
984729,206555
997859,240423
993168,230637
998377,227110
998360,229266
998360,229266
986127,210007
987134,219641
999474,239328
1001573,238689
1000402,229042
984073,205165
983690,209040
997424,221861
984150,205162
1000980,228602
985372,210056
987353,217503
995933,238177
1000980,228602
998390,233456
992379,227096
984814,199271
991087,207861
1001577,234452
1001260,236151
997558,230900
987139,199013
987211,201721
983053,206188
991886,227675
997657,232391
992726,227204
998476,241599
